parent_company,ticker,matched_name,tCO2e_2023_attributed
ABBVIE INC,ABBV,AbbVie Inc.,99778
ABBOTT LABORATORIES,ABT,Abbott Laboratories,134387
ANALOG DEVICES INC,ADI,"Analog Devices, Inc.",117772
ARCHER DANIELS MIDLAND CO,ADM,Archer-Daniels-Midland Company,10585368
AMEREN CORP,AEE,Ameren Corporation,19790345
AMERICAN ELECTRIC POWER CO INC,AEP,"American Electric Power Company, Inc.",48971843
AES CORP,AES,The AES Corporation,15564435
THE AES CORP,AES,The AES Corporation,498
ALBEMARLE CORP,ALB,Albemarle Corporation,229672
AMGEN INC,AMGN,Amgen Inc.,61780
APA CORP,APA,APA Corporation,1342264
AIR PRODUCTS & CHEMICALS INC,APD,"Air Products and Chemicals, Inc.",14072905
ARES MANAGEMENT CORP,ARES,Ares Management Corporation,1454174
ATMOS ENERGY CORP,ATO,Atmos Energy Corporation,737121
BROADCOM INC,AVGO,Broadcom Inc.,34457
THE BOEING CO,BA,The Boeing Company,151145
BAXTER INTERNATIONAL INC,BAX,Baxter International Inc.,43204
BROWN-FORMAN CORP,BF.B,Brown-Forman Corporation,90073
BIOGEN INC,BIIB,Biogen Inc.,28268
BLACKROCK INC,BLK,"BlackRock, Inc.",187750
BRISTOL-MYERS SQUIBB CO,BMY,Bristol-Myers Squibb Company,95103
BERKSHIRE HATHAWAY INC,BRK.B,Berkshire Hathaway Inc.,53055963
BERKSHIRE HATHAWAY ENERGY,BRK.B,Berkshire Hathaway Inc.,27798
BLACKSTONE GSO HOLDINGS LLC,BX,Blackstone Inc.,59809
CATERPILLAR INC,CAT,Caterpillar Inc.,456902
CPN MANAGEMENT LP,CEG,Constellation Energy Corporation,47703517
CONSTELLATION ENERGY CORP,CEG,Constellation Energy Corporation,8929939
Constellation Energy Corp,CEG,Constellation Energy Corporation,11382
CF INDUSTRIES HOLDINGS INC,CF,"CF Industries Holdings, Inc.",20579424
CMS ENERGY CORP,CMS,CMS Energy Corporation,16989122
CENTERPOINT ENERGY INC,CNP,"CenterPoint Energy, Inc.",4192300
CENTERPOINT HOLDINGS LLC,CNP,"CenterPoint Energy, Inc.",41226
CONOCOPHILLIPS,COP,ConocoPhillips,9034710
CORTEVA INC,CTVA,"Corteva, Inc.",82754
CHEVRON CORP,CVX,Chevron Corporation,21259981
CHEVRON USA INC,CVX,Chevron Corporation,299823
Chevron Corp,CVX,Chevron Corporation,756
DOMINION ENERGY INC,D,"Dominion Energy, Inc.",29414585
DELTA AIR LINES INC,DAL,"Delta Air Lines, Inc.",1256097
DUPONT DE NEMOURS INC,DD,"DuPont de Nemours, Inc.",180837
DEERE & CO,DE,Deere & Company,45076
THE WALT DISNEY CO,DIS,The Walt Disney Company,108270
DOW INC,DOW,Dow Inc.,16671470
DTE ENERGY CO,DTE,DTE Energy Company,23423239
DUKE ENERGY CORP,DUK,Duke Energy Corporation,72776123
DEVON ENERGY CORP,DVN,Devon Energy Corporation,4402834
CONSOLIDATED EDISON INC,ED,"Consolidated Edison, Inc.",2697758
EDISON INTERNATIONAL,EIX,Edison International,1102589
EOG RESOURCES INC,EOG,"EOG Resources, Inc.",5541344
EQT CORP,EQT,EQT Corporation,446360
EVERSOURCE ENERGY,ES,Eversource Energy,206262
ENTERGY CORP,ETR,Entergy Corporation,38142109
EVERGY INC,EVRG,"Evergy, Inc.",23109086
EXELON CORP,EXC,Exelon Corporation,301250
CHESAPEAKE ENERGY CORP,EXE,Expand Energy Corporation,791730
FORD MOTOR CO,F,Ford Motor Company,497625
DIAMONDBACK ENERGY INC,FANG,"Diamondback Energy, Inc.",1757044
FREEPORT-MCMORAN INC,FCX,Freeport-McMoRan Inc.,468238
FIRSTENERGY CORP,FE,FirstEnergy Corp.,15338451
GENERAL ELECTRIC CO,GE,GE Aerospace,272224
GENERAL MILLS INC,GIS,"General Mills, Inc.",70689
CORNING INC,GLW,Corning Incorporated,171577
GENERAL MOTORS CO,GM,General Motors Company,491789
GENERAL MOTORS LLC,GM,General Motors Company,80382
ALPHABET INC,GOOGL,Alphabet Inc.,15853
THE GOLDMAN SACHS GROUP INC,GS,"The Goldman Sachs Group, Inc.",15642
HALLIBURTON CO,HAL,Halliburton Company,53415
HUNTINGTON INGALLS INDUSTRIES INC,HII,"Huntington Ingalls Industries, Inc.",49707
HONEYWELL INTERNATIONAL INC,HON,Honeywell International Inc.,354899
HONEYWELL UOP,HON,Honeywell International Inc.,26704
HORMEL FOODS CORP,HRL,Hormel Foods Corporation,58586
HOWMET AEROSPACE INC,HWM,Howmet Aerospace Inc.,124138
INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF,International Flavors & Fragrances Inc.,307088
INTEL CORP,INTC,Intel Corporation,790768
