parent_company,tCO2e_2023_attributed
US GOVERNMENT,41576701
CLEVELAND-CLIFFS INC,27412158
KOCH INDUSTRIES INC,22306708
BASIN ELECTRIC POWER COOPERATIVE,21273742
US STEEL CORP,19834785
LIGHTSTONE GENERATION LLC,19136181
ENERGY TRANSFER LP,18774738
HILCORP ENERGY CO,16045034
SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,15899100
ASSOCIATED ELECTRIC COOPERATIVE INC,15571682
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,14096573
JACKSONVILLE ELECTRIC AUTHORITY,12645358
ENTERPRISE PRODUCTS PARTNERS LP,11823736
PRAIRIE STATE ENERGY CAMPUS MANAGEMENT CO,11456295
BP AMERICA INC,11173310
HOLCIM PARTICIPATIONS (US) INC,11043419
"LS Power Development, LLC",10829542
PBF ENERGY INC,10756377
CPS ENERGY,10609733
TALEN ENERGY CORP,10479098
ARCLIGHT ENERGY PARTNERS FUND VII LP,10185497
OGLETHORPE POWER CORP,10016297
THE WILLIAMS COS INC,9935645
CHENIERE ENERGY INC,9730828
BUCKEYE POWER INC,9421840
CLECO CORPORATE HOLDINGS LLC,8612058
LOWER COLORADO RIVER AUTHORITY,8428182
NEBRASKA PUBLIC POWER DISTRICT,8317520
TRI-STATE GENERATION & TRANSMISSION ASSOC INC,8262406
EAST KENTUCKY POWER COOPERATIVE INC,8165153
PUERTO RICO ELECTRIC POWER AUTHORITY,8138546
SHELL PETROLEUM INC,8135724
PUGET HOLDINGS LLC,7850966
PDV AMERICA INC,7818236
OGE ENERGY CORP,7795024
OMAHA PUBLIC POWER DISTRICT,7767450
REMC ASSETS LP,7716347
TECO ENERGY INC,7664304
UNS ENERGY CORP,7317024
SEMINOLE ELECTRIC COOPERATIVE INC,6972461
ARKANSAS ELECTRIC COOPERATIVE CORP,6779310
CONSOL ENERGY INC,6531800
FORMOSA PLASTICS CORP USA,6434339
AMERICAN AIR LIQUIDE HOLDINGS INC,6298755
AMERICAN CONSOLIDATED NATURAL RESOURCES INC,6291583
PORTLAND GENERAL ELECTRIC CO,6253145
ARAMCO SERVICES CO,6146683
HALLADOR ENERGY CO,5964330
Eastman Chemical Co,5899994
INVENERGY LLC,5822258
RC LONESTAR INC,5594428
LS POWER EQUITY PARTNERS LP,5544937
EAGLE MATERIALS INC,5508638
LHOIST NORTH AMERICA INC,5453861
ALCOA CORP,5420540
CEMEX INC,5392570
TRANSCANADA PIPELINE USA LTD,5363409
MINNKOTA POWER COOPERATIVE INC,4993025
IDACORP INC,4954743
ARCLIGHT CAPITAL HOLDINGS LLC,4920419
EDGEWATER GENERATION HOLDINGS LLC,4851172
ALLETE INC,4834096
HF SINCLAIR CORP,4778890
ENLINK MIDSTREAM LLC,4708760
Nutrien US Topco LLC,4674817
MPLX LP,4674184
CRH AMERICAS INC,4652546
MIDLAND COGENERATION VENTURE LP,4609330
"Omnis Pleasants, LLC",4583460
TRANSALTA USA INC,4536949
COVANTA HOLDING CORP,4508537
HAWAIIAN ELECTRIC INDUSTRIES INC,4498202
Intermountain Power Agency,4427131
