ticker,company_name,cik,gics_sector,gics_sub_industry,nace_section,is_primary_listing,share_class_siblings,hq_country_iso,date_added,scope1_measured_us_t,scope1_measured_us_year,scope1_measured_allgas_t,scope1_biogenic_t,scope1_ar6_t,scope1_lookahead_excluded_t,scope1_facility_count,ghgrp_matched_zero_fossil,scope1_current_signal_t,scope1_current_signal_year,scope1_selfreported_t,scope1_selfreported_year,scope1_selfreported_source,scope1_modelled_t,scope1_modelled_year,scope1_t,scope1_year,scope1_basis,scope1_dq,scope1_below_measured_floor,scope2_market_t,scope2_basis,scope2_dq,scope2_location_t,scope2_year,scope3_total_t,scope3_basis,scope3_dq,scope3_year,scope12_t,scope12_year,grid_factor_hq_g_per_kwh,power_intensity_g_per_kwh,power_gen_mwh,delivered_pct_yr,delivered_basis,delivered_dq,delivered_se_pct_yr,delivered_r2,delivered_n_years,delivered_year_start,delivered_year_end,delivered_camd_pct_yr,promised_pct_yr,promised_basis,promised_dq,promised_target_year,promised_baseline_year,gap_pct_yr,sbti_near_term_status,sbti_near_term_classification,sbti_net_zero_status,sbti_net_zero_year,revenue_musd,revenue_basis,revenue_dq,revenue_fy,revenue_period_end,ebit_musd,ebit_basis,ebit_dq,ebit_fy,capex_musd,capex_fy,da_musd,da_basis,da_fy,ebitda_musd,ebitda_basis,ebitda_dq,ebitda_fy,total_debt_musd,total_debt_basis,total_debt_dq,total_debt_fy,total_cash_musd,market_cap_musd,market_cap_basis,market_cap_dq,market_cap_shares_stale,evic_musd,evic_debt_observed,ev_musd,ev_ebitda_x,ev_ebitda_basis,ev_ebitda_dq,ev_ebitda_raw_x,fcf_musd,beta_x,revenue_ttm_musd_check,index_weight_pct,price_usd2010_per_t,price_sector_usd_per_t,coverage_scope1_pct,coverage_scope2_pct,coverage_scope3_pct,passthrough_pct,carbon_cost_musd,abatement_factor,carbon_cost_abated_musd,d_ebit_musd,d_ebit_pct_of_ebit,d_ev_musd,d_ev_pct_of_ev,model_dq,excl_12g,excluded,excl_articles,excl_basis,excl_dq,high_impact_nace,penalty_usd_environment,case_count_environment,penalty_usd_total,conduct_measured_zero,vendor_percentile,vendor_n_sources,our_percentile,rank_median,rank_p05,rank_p95,coverage_tier,score_mirrored_from,provenance_class,financial_provenance_class,generated_at
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,C,True,,California,2000-06-05,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,195.03700802971002,,,,,,,,,,,,-6.1069,sbti_s12_absolute,2.0,2030.0,2019.0,,Targets set,1.5°C,Targets set,2050.0,6948.0,sec_xbrl,1,2025,2025-10-31,1479.0,sec_xbrl,1.0,2025.0,407.0,2025.0,257.0,sec_secondhand,2024.0,1745.0,sec_ebit_plus_secondhand_da,2.0,2024.0,3354.0,sec_xbrl,1,2025.0,1758.0,41423.80651822,sec_shares_x_price,1,False,44777.80651822,True,43813.80608,21.064,yahoo,2,21.064,1060.374976,1.241,7372.000256,0.05938930391603116,98.5853,141.962832,100.0,100.0,0.0,70.0,,1.0,,,,,,,False,False,,,5,True,87523.0,3.0,6654732.0,False,72.40102633318526,4.0,40.88176345825195,296.0,71.0,402.0,unmeasurable,,,mandatory,2026-09-12 16:53:36+00:00
AAPL,Apple Inc.,0000320193,Information Technology,"Technology Hardware, Storage & Peripherals",C,True,,California,1982-11-30,,,,,,,,False,,,55200.0,2024.0,wba,0.0,2026.0,55200.0,2024.0,self_reported,1.0,False,1224500.0,wba,1.0,,2024.0,15110000.0,wba,1.0,2024.0,58500.0,2024.0,195.03700802971002,,,,,,,,,,,,-8.4204,sbti_combined,2.0,2030.0,2019.0,,Targets set,1.5°C,,,416161.0,sec_xbrl,1,2025,2025-09-27,133050.0,sec_xbrl,1.0,2025.0,12715.0,2025.0,11445.0,sec_secondhand,2024.0,134661.0,sec_ebit_plus_secondhand_da,2.0,2024.0,90678.0,sec_xbrl,1,2025.0,62399.000576,4849208.1886,sec_shares_x_price,1,False,4939886.1886,True,4871152.992256,29.002,yahoo,2,29.002,107721.875456,1.085,466822.987776,6.952308903292151,98.5853,141.962832,100.0,100.0,0.0,60.0,181.66983611039998,1.0,181.66983611039998,72.66793444416,0.054617011983585116,2107.515434749528,0.04326522772123945,5.0,False,False,,,5,True,779241.0,4.0,1548666971.0,False,61.377103747201446,5.0,35.07014083862305,325.0,138.0,409.0,reported,,voluntary,mandatory,2026-09-12 16:53:36+00:00
ABBV,AbbVie,0001551152,Health Care,Biotechnology,C,True,,Illinois,2012-12-31,99777.824,2023.0,99777.824,0.0,99781.95499999999,0.0,2.0,False,,,300072.0,2024.0,wba,,,300072.0,2024.0,self_reported,1.0,False,241142.0,wba,1.0,,2024.0,,,,,422359.0,2024.0,415.51510490798,,,-5.766211964190715,ghgrp,2.0,0.5297774959126951,0.9124776918558558,11.0,2013.0,2023.0,,-5.873,sbti_s12_absolute,2.0,2030.0,2021.0,0.1067880358092852,Targets set,1.5°C,,,61160.0,sec_xbrl,1,2025,2025-12-31,15075.0,sec_xbrl,1.0,2025.0,1214.0,2025.0,,,,30762.999808,yahoo_ttm,3.0,,67496.0,sec_xbrl,1,2025.0,6568.999936,454361.19631920004,sec_shares_x_price,1,False,521857.19631920004,True,518724.190208,16.862,yahoo,2,16.862,16870.250496,0.281,64385.998848,0.6514175650174409,98.5853,141.962832,100.0,100.0,0.0,70.0,76.83227215804799,0.700228682423631,53.80016070084377,16.140048210253134,0.10706499641958962,272.1534929212883,0.05246593431707111,5.0,False,False,,,5,True,804823.0,4.0,7465081404.0,False,23.812961606937655,5.0,86.50394439697266,68.34532165527344,10.0,359.0,measured,,voluntary,mandatory,2026-09-12 16:53:36+00:00
ABNB,Airbnb,0001559720,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",N,True,,California,2023-09-18,,,,,,,,False,,,1303.0,2023.0,wba,,,1303.0,2023.0,self_reported,1.0,False,6060.0,wba,1.0,,2023.0,395990.0,wba,1.0,2023.0,7363.0,2023.0,195.03700802971002,,,,,,,,,,,,-13.0047,sbti_s12_absolute,2.0,2030.0,2019.0,,Targets set,1.5°C,,,12241.0,sec_xbrl,1,2025,2025-12-31,2544.0,sec_xbrl,1.0,2025.0,25.0,2022.0,42.6,sec_secondhand,2022.0,1844.6,sec_ebit_plus_secondhand_da,2.0,2022.0,1999.0,sec_xbrl,1,2025.0,12069.000192,106028.37,sec_shares_x_price,1,True,108027.37,True,90768.5888,30.974799999999973,yahoo_winsorised,3,32.875,3206.87488,1.161,13159.000064,0.152012854899796,98.5853,141.962832,100.0,100.0,0.0,40.0,1.045272332016,1.0,1.045272332016,0.6271633992096,0.02465264934,19.4262608578375,0.02140196417578049,5.0,False,False,,,5,False,0.0,0.0,116672.0,True,64.63344241649413,2.0,80.76152038574219,97.0,30.5,287.0,unmeasurable,,voluntary,mandatory,2026-09-12 16:53:36+00:00
ABT,Abbott Laboratories,0000001800,Health Care,Health Care Equipment,C,True,,Illinois,1957-03-04,134386.892,2023.0,134386.892,0.0,134392.734,0.0,5.0,False,,,533000.0,2021.0,report_pdf,,,533000.0,2021.0,self_reported,2.0,False,397000.0,report_pdf,2.0,478000.0,2021.0,,,,,,,415.51510490798,,,-4.650571294760242,ghgrp,2.0,1.0631058862004412,0.5646140177554051,14.0,2010.0,2023.0,,-2.9286,sbti_s12_absolute,2.0,2030.0,2018.0,-1.7219712947602424,Targets set,Well-below 2°C,,,44328.0,sec_xbrl,1,2025,2025-12-31,8053.0,sec_xbrl,1.0,2025.0,2171.0,2025.0,,,,11681.000448,yahoo_ttm,3.0,,12929.0,sec_xbrl,1,2025.0,5602.999808,177577.77713655002,sec_shares_x_price,1,False,190506.77713655002,True,204181.569536,17.48,yahoo,2,17.48,7209.124864,0.586,46584.999936,0.25459322697582437,98.5853,141.962832,100.0,100.0,0.0,70.0,132.02543376,0.6514226538120917,86.00435843063173,25.801307529189522,0.32039373561641027,451.00685561023283,0.22088519381800234,5.0,False,False,,,5,True,140209.0,4.0,785294091.0,False,36.07390729584043,5.0,76.55310821533203,118.0,7.0,364.0,measured,,voluntary,mandatory,2026-09-12 16:53:36+00:00
ACGL,Arch Capital Group,0000947484,Financials,Property & Casualty Insurance,K,True,,Bermuda,2022-11-01,,,,,,,,False,,,1165.0,2021.0,report_pdf,,,1165.0,2021.0,self_reported,3.0,False,5001.0,report_pdf,3.0,,2021.0,112160.0,report_pdf,3.0,2021.0,,,349.6670732320368,,,,,,,,,,,,-20.5672,netzero_inferred,2.0,2030.0,2020.0,,,,,,19929.0,sec_xbrl,1,2025,2025-12-31,5159.0,sec_xbrl,1.0,2025.0,44.0,2025.0,,,,5565.000192,yahoo_ttm,3.0,,4286.000128,yahoo,3,,4464.0,32788.70671734,sec_shares_x_price,1,False,37074.70684534,True,33305.174016,5.985,yahoo,2,5.985,4302.125056,0.282,19232.0,0.047009162892676475,98.5853,141.962832,100.0,100.0,0.0,50.0,0.875342822112,1.0,0.875342822112,0.437671411056,0.008483648208102344,2.6194633951701602,0.007865034405500343,5.0,False,False,,,5,False,0.0,0.0,7204665.0,True,44.29484653049398,5.0,55.31061935424805,224.0,96.5,418.0,reported,,voluntary,vendor,2026-09-12 16:53:36+00:00
ACN,Accenture,0001467373,Information Technology,IT Consulting & Other Services,J,True,,Ireland,2011-07-06,,,,,,,,False,,,22395.0,2024.0,wba,,,22395.0,2024.0,self_reported,1.0,False,181455.0,wba,1.0,,2024.0,628840.0,wba,1.0,2024.0,25979.0,2024.0,349.6670732320368,,,,,,,,,,,,-13.6112,sbti_s12_absolute,2.0,2030.0,2019.0,,Targets set,1.5°C,Targets set,2040.0,69672.977,sec_xbrl,1,2025,2025-08-31,10225.664,sec_xbrl,1.0,2025.0,600.039,2025.0,1443.225,sec_secondhand,2024.0,11039.072,sec_ebit_plus_secondhand_da,2.0,2024.0,5034.169,sec_xbrl,1,2025.0,10171.567104,116304.81636119999,sec_shares_x_price,1,True,121338.98536119999,True,112370.507776,9.2242,yahoo_winsorised,3,8.681,12089.380864,1.092,73100.591104,0.1667461941899372,98.5853,141.962832,100.0,100.0,0.0,60.0,28.9391233032,1.0,28.9391233032,11.57564932128,0.11320193310947826,106.77610446935097,0.0950214665597125,5.0,False,False,,,5,False,0.0,0.0,67082173.0,True,94.76584836002428,5.0,66.13226318359375,170.0,83.0,338.0,unmeasurable,,voluntary,mandatory,2026-09-12 16:53:36+00:00
ADBE,Adobe Inc.,0000796343,Information Technology,Application Software,J,True,,California,1997-05-05,,,,,,,,False,,,7649.0,2023.0,wba,,,7649.0,2023.0,self_reported,1.0,False,62662.0,wba,1.0,,2023.0,612099.0,wba,1.0,2023.0,70311.0,2023.0,195.03700802971002,,,,,,,,,,,,-6.5824,sbti_s12_absolute,2.0,2030.0,2022.0,,Targets set,1.5°C,Targets set,2050.0,23769.0,sec_xbrl,1,2025,2025-11-28,8706.0,sec_xbrl,1.0,2025.0,179.0,2025.0,857.0,sec_secondhand,2024.0,7598.0,sec_ebit_plus_secondhand_da,2.0,2024.0,6210.0,sec_xbrl,1,2025.0,5639.000064,100261.425,sec_shares_x_price,1,False,106471.425,True,100753.850368,10.328,yahoo,2,10.328,9129.875456,1.417,25969.999872,0.14374478689592018,98.5853,141.962832,100.0,100.0,0.0,60.0,9.981548680752,1.0,9.981548680752,3.9926194723008006,0.04586054987710545,41.23577390992266,0.040927243732433456,5.0,False,False,,,5,False,0.0,0.0,257758044.0,True,71.66501832666366,5.0,66.13226318359375,170.0,83.0,338.0,reported,,voluntary,mandatory,2026-09-12 16:53:36+00:00
ADI,Analog Devices,0000006281,Information Technology,Semiconductors,C,True,,Massachusetts,1999-10-12,117771.628108,2023.0,117771.628108,0.0,117159.18210800001,0.0,4.0,False,,,138000.0,2023.0,wba,,,138000.0,2023.0,self_reported,1.0,False,140000.0,wba,1.0,,2023.0,2343000.0,wba,1.0,2023.0,278000.0,2023.0,246.38139635186002,,,-5.948217463309535,ghgrp,2.0,2.599510149460509,0.27467917189307167,13.0,2011.0,2023.0,,-6.1069,sbti_s12_absolute,2.0,2030.0,2019.0,0.15868253669046517,Targets set,1.5°C,Commitment removed,,11019.707,sec_xbrl,1,2025,2025-11-01,2932.496,sec_xbrl,1.0,2025.0,533.552,2025.0,,,,6922.7008,yahoo_ttm,3.0,,8591.705,sec_xbrl,1,2025.0,2324.933888,183543.70683269997,sec_shares_x_price,1,False,192135.41183269996,True,190382.833664,27.501,yahoo,2,27.501,4147.339008,1.205,13881.744384,0.2631465793025953,98.5853,141.962832,100.0,100.0,0.0,60.0,39.465667296,0.6509823551139101,25.6914530424921,10.27658121699684,0.35043803016259323,282.6162600486301,0.14844629350743338,5.0,False,False,,,5,True,109979.0,3.0,5027403.0,False,35.56693438584494,4.0,68.73747253417969,157.0,17.0,402.0,measured,,voluntary,mandatory,2026-09-12 16:53:36+00:00
ADM,Archer Daniels Midland,0000007084,Consumer Staples,Agricultural Products & Services,C,True,,Illinois,1957-03-04,10585367.606,2023.0,10761199.105999999,175831.5,10588838.969,0.0,19.0,False,,,12300000.0,2024.0,wba,1650060.0,2026.0,12300000.0,2024.0,self_reported,1.0,False,2150000.0,wba,1.0,,2024.0,114100000.0,wba,1.0,2024.0,14370000.0,2024.0,415.51510490798,4.19255427591,885894.0,-0.8924635711578421,ghgrp,2.0,0.3309156001381244,0.34342901561330763,14.0,2010.0,2023.0,,-1.7819451444741063,wba,3.0,,,,Commitment removed,,,,80269.0,sec_xbrl,1,2025,2025-12-31,1255.0,sec_xbrl,1.0,2025.0,1248.0,2025.0,1141.0,sec_secondhand,2024.0,3396.0,sec_ebit_plus_secondhand_da,2.0,2024.0,8410.0,sec_xbrl,1,2025.0,1092.999936,41795.535037760004,sec_shares_x_price,1,False,50205.535037760004,True,50343.534592,16.809,yahoo,2,16.809,1164.625024,0.613,82099.003392,0.05992225102728968,98.5853,141.962832,100.0,100.0,0.0,70.0,2051.3629223999997,0.9476328006017587,1943.93879120452,583.181637361356,46.46865636345466,9802.700142407033,19.4716168061127,5.0,False,False,,,5,True,364212958.0,56.0,911812117.0,False,27.293812849592083,4.0,3.206413984298706,484.0,363.0,500.0,measured,,voluntary,mandatory,2026-09-12 16:53:36+00:00
