Rank,Ticker,Company,Market Cap,Price,Change,Revenue
1,NVDA,NVIDIA Corporation,5.27T,218.29,-0.03%,302.97B
2,AAPL,Apple Inc.,4.85T,332.27,1.75%,466.82B
3,GOOGL,Alphabet Inc.,4.14T,338.50,1.77%,445.87B
4,GOOG,Alphabet Inc.,4.12T,335.45,1.53%,445.87B
5,MSFT,Microsoft Corporation,3.68T,495.63,0.65%,331.84B
6,AMZN,"Amazon.com, Inc.",2.77T,256.78,1.94%,775.68B
7,AVGO,Broadcom Inc.,1.73T,361.99,0.32%,89.10B
8,META,"Meta Platforms, Inc.",1.65T,648.03,0.57%,228.25B
9,TSLA,"Tesla, Inc.",1.44T,365.44,0.52%,103.62B
10,MU,"Micron Technology, Inc.",1.10T,975.26,-0.22%,90.27B
11,BRK.B,Berkshire Hathaway Inc.,1.09T,510.37,0.66%,384.69B
12,LLY,Eli Lilly and Company,994.49B,1115.70,-0.65%,79.67B
13,JPM,JPMorgan Chase & Co.,946.93B,356.23,0.76%,186.33B
14,WMT,Walmart Inc.,850.10B,107.15,1.34%,735.84B
15,AMD,"Advanced Micro Devices, Inc.",842.57B,516.13,2.49%,41.31B
16,XOM,ExxonMobil Holdings Corporation,682.54B,165.99,0.46%,361.06B
17,V,Visa Inc.,680.00B,370.45,0.88%,44.49B
18,JNJ,Johnson & Johnson,640.02B,265.58,-0.29%,97.93B
19,INTC,Intel Corporation,540.90B,102.94,2.61%,57.03B
20,MA,Mastercard Incorporated,498.62B,569.19,0.68%,35.08B
21,ABBV,AbbVie Inc.,454.36B,257.12,0.83%,64.39B
22,CSCO,"Cisco Systems, Inc.",442.08B,112.13,4.37%,63.33B
23,BAC,Bank of America Corporation,438.38B,62.69,0.21%,113.93B
24,ORCL,Oracle Corporation,432.88B,150.28,-1.74%,71.78B
25,CVX,Chevron Corporation,419.90B,214.06,0.61%,209.38B
26,PLTR,Palantir Technologies Inc.,401.86B,167.23,0.83%,6.16B
27,COST,Costco Wholesale Corporation,401.25B,904.77,0.26%,293.59B
