Symbol,Security,GICS Sector,GICS Sub-Industry,near_term_status,near_term_target_classification,near_term_target_year,net_zero_status,net_zero_year,scope1_2023_t,revenue_2023,ebitda_2023,intensity_t_per_musd,scope1_cagr_5y,ebitda_at_risk_100
MMM,3M,Industrials,Industrial Conglomerates,Targets set,1.5°C,2030,,,1007144.0,24610000000.0,-8702000000.0,40.92417716375457,-0.02900660534024324,-0.011573707193748563
AOS,A. O. Smith,Industrials,Building Products,,,,,,,3852800000.0,823800000.0,,,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,,,,,,134387.0,40109000000.0,,3.3505447655139746,0.03311007742579375,
ABBV,AbbVie,Health Care,Biotechnology,Targets set,1.5°C,2030,,,99778.0,54318000000.0,,1.8369233035089658,-0.0837393968973753,
ACN,Accenture,Information Technology,IT Consulting & Other Services,Targets set,1.5°C,FY2030,Targets set,FY2040,,64111745000.0,10221962000.0,,,
ADBE,Adobe Inc.,Information Technology,Application Software,Targets set,1.5°C,FY2030,Targets set,FY2050,,19409000000.0,7522000000.0,,,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Targets set,Well-below 2°C,2020,,,,22680000000.0,,,,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,,,,,,15564413.0,12668000000.0,,1228.6401168298073,-0.0588974886461886,
AFL,Aflac,Financials,Life & Health Insurance,,,,,,,18701000000.0,,,,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Targets set,1.5°C,FY2030,Targets set,FY2050,,6833000000.0,1621000000.0,,,
APD,Air Products,Materials,Industrial Gases,,,,,,14072905.0,12600000000.0,3852900000.0,1116.8972222222221,0.023597609434733657,0.3652548729528407
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Targets set,1.5°C,2030,,,,9917000000.0,,,,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Commitment removed,,,Commitment removed,,,,1208114000.0,,,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,,,,,,229672.0,9617203000.0,681825000.0,23.881371746026367,-0.008386626217817383,0.03368488981776849
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,,,,,,,,,,,
ALGN,Align Technology,Health Care,Health Care Supplies,,,,,,,3862260000.0,785739000.0,,,
ALLE,Allegion,Industrials,Building Products,,,,,,,3650800000.0,817400000.0,,,
LNT,Alliant Energy,Utilities,Electric Utilities,,,,,,12978459.0,4027000000.0,1619000000.0,3222.8604420163892,-0.047800208309101255,0.8016342804200124
ALL,Allstate,Financials,Property & Casualty Insurance,,,,,,,57094000000.0,,,,
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Targets set,1.5°C,2030,,,,307394000000.0,,,,
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Targets set,1.5°C,2030,,,15853.0,307394000000.0,,0.05157224929569217,,
MO,Altria,Consumer Staples,Tobacco,Targets set,1.5°C,2030,Targets set,2050,66467.0,24483000000.0,11819000000.0,2.714822529918719,-0.06399367207924289,0.0005623741433285387
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Commitment removed,,,,,,574785000000.0,85515000000.0,,,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Targets set,1.5°C,FY2033,Targets set,FY2050,,10410000000.0,1578000000.0,,,
AEE,Ameren,Utilities,Multi-Utilities,,,,,,19669523.0,7500000000.0,2990000000.0,2622.6030666666666,-0.07689288842428343,0.6578435785953177
AEP,American Electric Power,Utilities,Electric Utilities,,,,,,48790616.0,19456000000.0,6483000000.0,2507.7413651315787,-0.06531757639618463,0.752593182168749
AXP,American Express,Financials,Consumer Finance,Targets set,1.5°C,2033,Targets set,2050,,37218000000.0,,,,
AIG,American International Group,Financials,Multi-line Insurance,,,,,,,27938000000.0,,,,
AMT,American Tower,Real Estate,Telecom Tower REITs,Targets set,Well-below 2°C,2035,,,,747300000.0,6054000000.0,,,
AWK,American Water Works,Utilities,Water Utilities,,,,,,,4217000000.0,2208000000.0,,,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,,,,,,,16096000000.0,,,,
AME,Ametek,Industrials,Electrical Components & Equipment,,,,,,,6596950000.0,,,,
AMGN,Amgen,Health Care,Biotechnology,Targets set,1.5°C,2030,,,61780.0,28190000000.0,11968000000.0,2.1915572898190847,0.1977220335513894,0.0005162098930481283
APH,Amphenol,Information Technology,Electronic Components,,,,,,,12554700000.0,2966000000.0,,,
ADI,Analog Devices,Information Technology,Semiconductors,Targets set,1.5°C,2030,Commitment removed,,117772.0,12305539000.0,,9.57064944493695,0.19846905013396898,
AON,Aon plc,Financials,Insurance Brokers,Targets set,1.5°C,2032,,,,13376000000.0,,,,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,,,,,,287402.0,,5236000000.0,,,0.005488961038961039
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,,,,,,,32644000000.0,,,,
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Targets set,1.5°C,FY2030,,,,383285000000.0,125820000000.0,,,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Targets set,1.5°C,FY2030,,,,26517000000.0,,,,
APP,AppLovin,Communication Services,Advertising,,,,,,,1841762000.0,1261419000.0,,,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Targets set,1.5°C,2030,,,,20051000000.0,,,,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,,,,,,,13634000000.0,,,,
