Symbol,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABBV,,,185918.0,183275.0,169719.0,159492.0,148980.0,154504.0,154326.0,128416.0,128081.0,106307.0,99778.0
ABT,241153.0,211857.0,145451.0,147316.0,137004.0,138160.0,117779.0,114189.0,113543.0,111892.0,135898.0,138441.0,134387.0
ADI,41129.0,38264.0,33849.0,37426.0,32999.0,31656.0,34325.0,47633.0,51711.0,45912.0,125756.0,137479.0,117772.0
ADM,12702714.0,12818079.0,12551858.0,12876326.0,12573191.0,12150318.0,12381364.0,12341044.0,12388843.0,11271636.0,11235811.0,11371896.0,10585368.0
AEE,59772190.0,48198587.0,30263992.0,30432531.0,28319299.0,26596742.0,29995758.0,29344948.0,24205850.0,25759240.0,27981535.0,24745347.0,19669523.0
AEP,130836033.0,117147105.0,110527250.0,120646434.0,99681252.0,91232191.0,69479032.0,68393672.0,69631212.0,53891923.0,62188238.0,58534096.0,48790616.0
AES,16717852.0,12224375.0,11023158.0,17138575.0,28744262.0,27788459.0,24767689.0,21083761.0,19580015.0,16833107.0,19500130.0,19517551.0,15564413.0
AIG,,371302.0,289071.0,303486.0,250250.0,215415.0,214067.0,259656.0,,,,,
ALB,325137.0,311311.0,298212.0,277006.0,261045.0,232909.0,237790.0,239550.0,242639.0,238652.0,230764.0,236979.0,229672.0
AMGN,55163.0,50560.0,50646.0,49618.0,51502.0,49630.0,28149.0,25065.0,35994.0,49617.0,41580.0,36979.0,61780.0
APA,,,,,,,,,,,467892.0,513613.0,287402.0
APD,10956121.0,11117689.0,11750512.0,12402119.0,12466573.0,12310104.0,12445638.0,12523838.0,12683848.0,11606325.0,12455741.0,13342138.0,14072905.0
ARES,,,,,,,,,387175.0,369743.0,1309322.0,1485114.0,1454174.0
ATO,38919.0,73395.0,57193.0,53240.0,49410.0,45016.0,63425.0,65986.0,155733.0,165679.0,135293.0,133304.0,130555.0
AVGO,,,,,,306332.0,201756.0,172334.0,182824.0,139671.0,125323.0,78584.0,34457.0
BA,168592.0,161982.0,164168.0,165640.0,152515.0,161552.0,167443.0,161902.0,174933.0,154943.0,156991.0,158302.0,151145.0
BAX,6574.0,6087.0,6626.0,6025.0,,,,,,,,39606.0,43204.0
BF.B,47727.0,43578.0,47951.0,42791.0,45737.0,42269.0,32373.0,58824.0,57438.0,56994.0,70601.0,94437.0,90073.0
BIIB,,,,,,,,,29570.0,27101.0,29388.0,29755.0,28268.0
BLK,,,,,,,,,,,183815.0,246870.0,187750.0
BMY,123522.0,118048.0,129360.0,125674.0,122001.0,118297.0,121417.0,110217.0,84259.0,83475.0,90193.0,91669.0,95103.0
BRK.B,65791661.0,66518223.0,67167598.0,65932484.0,62340933.0,55552410.0,55950591.0,58815617.0,64849268.0,58636244.0,63891381.0,58427646.0,53362265.0
BX,,,,,,,23085.0,,,,,,
CAT,484401.0,584230.0,586190.0,577771.0,546157.0,519333.0,575199.0,641041.0,596462.0,459261.0,471627.0,479805.0,456902.0
CE,1726313.0,1717021.0,1729730.0,1754834.0,1484524.0,1541784.0,1475927.0,1549686.0,2100703.0,1918464.0,1744939.0,1735294.0,1710686.0
CEG,17569754.0,2925478.0,3496430.0,3258761.0,,,,,,,,8247706.0,8941321.0
