metric,company,year,value
CDP+Scope_1_Emissions,9269,2019,338
CDP+Scope_1_Emissions,56203,2018,110
CDP+Scope_1_Emissions,9269,2018,181
CDP+Scope_1_Emissions,56864,2018,48474
CDP+Scope_1_Emissions,3400266,2017,Unknown
CDP+Scope_1_Emissions,3986,2017,440000
CDP+Scope_1_Emissions,2615426,2017,3668000 
CDP+Scope_1_Emissions,6446,2017,547480
CDP+Scope_1_Emissions,56203,2017,110
CDP+Scope_1_Emissions,3400266,2016,1474175
CDP+Scope_1_Emissions,975152,2016,43.215
CDP+Scope_1_Emissions,6446,2016,Unknown
CDP+Scope_1_Emissions,56165,2016,9005
CDP+Scope_1_Emissions,8979,2016,62657
CDP+Scope_1_Emissions,170593,2016,4700
CDP+Scope_1_Emissions,44417,2016,750000
CDP+Scope_1_Emissions,3400266,2015,1770277
CDP+Scope_1_Emissions,56165,2015,17837
CDP+Scope_1_Emissions,56351,2014,643547
CDP+Scope_1_Emissions,56230,2014,28090
CDP+Scope_1_Emissions,56359,2014,14764
CDP+Scope_1_Emissions,56363,2014,2787000
CDP+Scope_1_Emissions,56368,2014,72192
CDP+Scope_1_Emissions,56372,2014,1409000
CDP+Scope_1_Emissions,56392,2014,210850
CDP+Scope_1_Emissions,56417,2014,17396.4
CDP+Scope_1_Emissions,56425,2014,129739
CDP+Scope_1_Emissions,56431,2014,16106
CDP+Scope_1_Emissions,56458,2014,87254
CDP+Scope_1_Emissions,56477,2014,474244
CDP+Scope_1_Emissions,56481,2014,1051600
CDP+Scope_1_Emissions,56539,2014,378993
CDP+Scope_1_Emissions,56559,2014,49517
CDP+Scope_1_Emissions,56567,2014,67076
CDP+Scope_1_Emissions,56572,2014,5120000
CDP+Scope_1_Emissions,56576,2014,27730000
CDP+Scope_1_Emissions,56593,2014,160223
CDP+Scope_1_Emissions,56645,2014,9123
CDP+Scope_1_Emissions,56672,2014,403136
CDP+Scope_1_Emissions,56676,2014,959865
CDP+Scope_1_Emissions,56685,2014,104062
CDP+Scope_1_Emissions,56711,2014,40704
CDP+Scope_1_Emissions,56715,2014,49385
CDP+Scope_1_Emissions,56719,2014,841978
CDP+Scope_1_Emissions,56731,2014,791682
CDP+Scope_1_Emissions,56739,2014,Unknown
CDP+Scope_1_Emissions,56763,2014,321370
CDP+Scope_1_Emissions,56775,2014,338481.69
CDP+Scope_1_Emissions,56779,2014,24226.61
CDP+Scope_1_Emissions,56816,2014,659248
CDP+Scope_1_Emissions,56820,2014,182000
CDP+Scope_1_Emissions,56864,2014,556562
CDP+Scope_1_Emissions,57013,2014,115.06
CDP+Scope_1_Emissions,57053,2014,59041.07
CDP+Scope_1_Emissions,57183,2014,139670
CDP+Scope_1_Emissions,57187,2014,109094
CDP+Scope_1_Emissions,57199,2014,626854
CDP+Scope_1_Emissions,57215,2014,592170
CDP+Scope_1_Emissions,57227,2014,157357
CDP+Scope_1_Emissions,57288,2014,49378
CDP+Scope_1_Emissions,57332,2014,1032297
CDP+Scope_1_Emissions,57340,2014,129
CDP+Scope_1_Emissions,57356,2014,35580
CDP+Scope_1_Emissions,57417,2014,32749
CDP+Scope_1_Emissions,57673,2014,1469.65
CDP+Scope_1_Emissions,57693,2014,30848
CDP+Scope_1_Emissions,57758,2014,39688
CDP+Scope_1_Emissions,57874,2014,919287
CDP+Scope_1_Emissions,57882,2014,958786
CDP+Scope_1_Emissions,58127,2014,73740
CDP+Scope_1_Emissions,58139,2014,6317868
CDP+Scope_1_Emissions,58271,2014,12422701
CDP+Scope_1_Emissions,58315,2014,18468
CDP+Scope_1_Emissions,59006,2014,26793
CDP+Scope_1_Emissions,59090,2014,10076
CDP+Scope_1_Emissions,60906,2014,10571
CDP+Scope_1_Emissions,60937,2014,61796.98
CDP+Scope_1_Emissions,60952,2014,100377.82
CDP+Scope_1_Emissions,60959,2014,616036
CDP+Scope_1_Emissions,61023,2014,7556
CDP+Scope_1_Emissions,61077,2014,80798.6
