Symbol,marketCap,enterpriseValue,totalRevenue,ebitda,operatingMargins,totalDebt,totalCash,freeCashflow,beta,enterpriseToEbitda,sector,industry,country
MMM,85078728704.0,92988727296.0,25180000256.0,6488000000.0,0.20354,13159999488.0,5303000064.0,6350125056.0,1.074,14.332,Industrials,Conglomerates,United States
AOS,7799793152.0,8295692800.0,3804900096.0,783699968.0,0.18929,677200000.0,181300000.0,484612512.0,1.153,10.585,Industrials,Specialty Industrial Machinery,United States
ABT,176412573696.0,204181569536.0,46584999936.0,11681000448.0,0.14706999,32719998976.0,5602999808.0,7209124864.0,0.586,17.48,Healthcare,Medical Devices,United States
ABBV,454361186304.0,518724190208.0,64385998848.0,30762999808.0,0.40035,70884999168.0,6568999936.0,16870250496.0,0.281,16.862,Healthcare,Drug Manufacturers - General,United States
ACN,112536141824.0,112370507776.0,73100591104.0,12943767552.0,0.16964,8388769792.0,10171567104.0,12089380864.0,1.092,8.681,Technology,Information Technology Services,Ireland
ADBE,100261421056.0,100753850368.0,25969999872.0,9754999808.0,0.34822,6761999872.0,5639000064.0,9129875456.0,1.417,10.328,Technology,Software - Application,United States
AMD,842569351168.0,833734311936.0,41305001984.0,9562000384.0,0.1725,4276000000.0,13111000064.0,8841499648.0,2.476,87.192,Technology,Semiconductors,United States
AES,10551757824.0,49523757056.0,13054000128.0,4070000128.0,0.18673,32942999552.0,1852999936.0,-3089125120.0,0.95,12.168,Utilities,Utilities - Diversified,United States
AFL,57794854912.0,65035853824.0,18069000192.0,6064999936.0,0.25722998,16176000000.0,8935000064.0,5152249856.0,0.58,10.723,Financial Services,Insurance - Life,United States
A,41429237760.0,43813806080.0,7372000256.0,2080000000.0,0.25559,4148000000.0,1758000000.0,1060374976.0,1.241,21.064,Healthcare,Diagnostics & Research,United States
APD,64897245184.0,84881047552.0,12602200064.0,4652199936.0,0.25536,18271199232.0,1000000000.0,-1497500032.0,0.754,18.245,Basic Materials,Specialty Chemicals,United States
