ticker,name,rank_by_mcap,dual_class_duplicate,sector,industry,market_cap_b,price,revenue_b,ebitda_b,revenue_growth,employees,esg_risk_total,esg_risk_env,esg_risk_social,esg_risk_gov,esg_risk_percentile,esg_risk_level,controversy_level,controversy_score,ghgrp_scope1_mt,ghgrp_scope1_2019_mt,ghgrp_trend_5y_pct,ghgrp_facilities,ghgrp_main_subsector,ghg_intensity_t_per_musd,logo_domain,altman_z,piotroski_f,esg_risk_yahoo,decarb_target_year,decarb_ambition_pa_pct,decarb_coverage_pct,temp_goal_c,controversy_flags,controversy_worst,sdg_aligned_count,report_year,report_count,report_e_score,report_s_score,report_g_score,report_total_score,ntc_climate_credit_score
NVDA,NVIDIA Corporation,1,False,Technology,Semiconductors,5270.0,218.29,302.97,61.184,1.224,29600.0,13.6,2.3,4.9,6.3,,Low,Moderate Controversy Level,2.0,,,,,,,nvidia.com,58.64,8.0,13.5,2025.0,0.59,,2.7,0,Green,4,2022,4,2.44,4.46,6.1,13.0,0.37885819678527355
AAPL,Apple Inc.,2,False,Technology,Consumer Electronics,4850.0,332.27,466.82,134.661,0.061,150000.0,17.2,0.5,7.4,9.4,,Low,Significant Controversy Level,3.0,,,,,,,apple.com,7.9,9.0,16.7,2030.0,-11.58,100.0,1.7,4,Orange,2,2023,4,0.46,7.39,9.37,17.22,0.40753377928508927
GOOGL,Alphabet Inc.,3,False,Communication Services,Internet Content & Information,4140.0,338.5,445.87,123.47,0.151,180895.0,24.2,1.6,11.2,11.5,,Medium,High Controversy Level,4.0,0.0159,0.02,-20.7,1,Power Plants,0.0,,13.24,8.0,24.2,2030.0,-12.5,100.0,1.4,3,Yellow,1,,,,,,,0.46552876043235164
GOOG,Alphabet Inc.,4,True,Communication Services,Internet Content & Information,4120.0,335.45,445.87,,,180895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,Microsoft Corporation,5,False,Technology,Software - Infrastructure,3680.0,495.63,331.84,136.552,0.16,221000.0,15.1,1.5,7.5,6.1,,Low,Significant Controversy Level,3.0,,,,,,,microsoft.com,9.38,6.0,15.4,2045.0,-3.79,100.0,1.4,4,Yellow,2,2022,4,0.82,8.17,5.1,14.08,0.3882366975365541
AMZN,"Amazon.com, Inc.",6,False,Consumer Cyclical,Internet Retail,2770.0,256.78,775.68,111.583,0.11,1525000.0,30.6,6.0,15.4,9.2,,High,Significant Controversy Level,3.0,,,,,,,,5.47,7.0,29.9,2040.0,-5.56,100.0,2.6,4,Orange,0,2022,4,5.71,14.62,9.86,30.18,0.5218411500526405
AVGO,Broadcom Inc.,7,False,Technology,Semiconductors,1730.0,361.99,89.1,22.958,0.164,20000.0,20.0,7.3,6.0,6.6,,Low,Significant Controversy Level,3.0,0.0345,0.1828,-81.2,1,Other,0.4,broadcom.com,,5.0,20.6,2030.0,0.91,,2.6,2,Yellow,3,2021,2,8.96,8.66,7.9,25.52,0.4337764800347174
META,"Meta Platforms, Inc.",8,False,Communication Services,Internet Content & Information,1650.0,648.03,228.25,79.209,0.189,69329.0,34.1,2.7,21.1,10.3,,High,High Controversy Level,4.0,,,,,,,,11.3,7.0,33.9,2031.0,-11.11,100.0,1.3,4,Orange,1,,,,,,,0.5511960970000592
TSLA,"Tesla, Inc.",9,False,Consumer Cyclical,Auto Manufacturers,1440.0,365.44,103.62,13.244,0.078,140473.0,25.2,3.3,14.1,7.8,,Medium,Significant Controversy Level,3.0,0.0805,0.0236,241.0,2,Other,0.8,teslamotors.com,9.61,4.0,25.0,,,,1.5,5,Orange,3,2021,3,2.87,17.31,10.86,31.04,0.48078550303848167
MU,"Micron Technology, Inc.",10,False,Technology,Semiconductors,1100.0,975.26,90.27,8.944,0.933,43000.0,18.2,7.2,5.5,5.5,,Low,Moderate Controversy Level,2.0,0.3039,0.3208,-5.3,2,Other,3.4,micron.com,4.6,2.0,19.7,2050.0,-0.42,33.14,3.5,0,Green,3,,,,,,,0.4078654256828356
BRK.B,Berkshire Hathaway Inc.,11,False,Financial Services,Insurance - Diversified,1090.0,510.37,384.69,149.547,-0.002,396500.0,20.7,1.0,4.9,14.8,,Medium,Low Controversy Level,1.0,53.0838,64.411,-17.6,129,Petroleum and Natural Gas Systems,138.0,,,,,,,,,,,,,,,,,,0.41971547738197046
LLY,Eli Lilly and Company,12,False,Healthcare,Drug Manufacturers - General,994.49,1115.7,79.67,16.567,0.204,43000.0,24.3,2.5,12.6,9.1,,Medium,Moderate Controversy Level,2.0,0.0476,0.0241,97.5,1,Chemicals,0.6,lilly.com,9.56,7.0,24.3,2030.0,-0.15,,1.5,3,Yellow,8,,,,,,,0.47079283902241986
JPM,JPMorgan Chase & Co.,13,False,Financial Services,Banks - Diversified,946.93,356.23,186.33,3.343,0.03,311921.0,29.3,1.1,16.5,11.7,,Medium,Significant Controversy Level,3.0,,,,,,,jpmorgan.com,,5.0,27.7,2030.0,1.03,,2.8,3,Orange,2,2022,4,1.11,16.32,11.65,29.08,0.5170749583170413
WMT,Walmart Inc.,14,False,Consumer Defensive,Discount Stores,850.1,107.15,735.84,40.779,0.048,2100000.0,25.3,5.9,12.4,7.1,,Medium,Significant Controversy Level,3.0,,,,,,,walmart.com,5.09,8.0,24.9,2040.0,0.29,12.01,2.2,4,Orange,0,2022,4,4.4,15.79,6.31,26.49,0.4746764104802202
AMD,"Advanced Micro Devices, Inc.",15,False,Technology,Semiconductors,842.57,516.13,41.31,,,26000.0,,,,,,,,,,,,,,,amd.com,12.54,7.0,15.0,2030.0,0.95,,2.7,0,Green,7,,,,,,,
XOM,ExxonMobil Holdings Corporation,16,False,Energy,Oil & Gas Integrated,682.54,165.99,361.06,71.538,-0.015,62000.0,41.6,23.1,10.0,8.5,,Severe,Significant Controversy Level,3.0,37.8824,36.3281,4.3,59,Petroleum and Natural Gas Systems,104.9,,,,,,,,,,,,2022,4,18.75,10.06,8.13,36.93,0.8007823053150951
V,Visa Inc.,17,False,Financial Services,Credit Services,680.0,370.45,44.49,24.973,0.117,,16.7,1.8,8.2,6.7,,Low,Significant Controversy Level,3.0,,,,,,,,,,,,,,,,,,,,,,,,0.4023371563554533
JNJ,Johnson & Johnson,18,False,Healthcare,Drug Manufacturers - General,640.02,265.58,97.93,30.052,0.052,131900.0,24.0,0.9,15.0,8.0,,Medium,High Controversy Level,4.0,,,,,,,jnj.com,4.71,8.0,22.1,2050.0,-3.14,100.0,1.3,4,Orange,5,2022,4,0.74,16.53,8.54,25.82,0.45856728138928216
INTC,Intel Corporation,19,False,Technology,Semiconductors,540.9,102.94,57.03,10.439,-0.062,130700.0,18.9,4.9,7.3,6.6,,Low,Significant Controversy Level,3.0,0.7908,0.7794,1.5,4,Other,13.9,intel.com,1.85,6.0,17.5,2040.0,0.72,,2.7,2,Yellow,4,2021,3,3.84,6.03,6.48,16.36,0.4085495920501738
MA,Mastercard Incorporated,20,False,Financial Services,Credit Services,498.62,569.19,35.08,16.784,0.128,33400.0,17.1,2.2,6.7,8.3,,Low,High Controversy Level,4.0,,,,,,,mastercard.com,10.89,6.0,,2050.0,-3.57,100.0,1.3,2,Yellow,4,,,,,,,0.4067244182044688
